"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCR1",198.574795746911,1.32315869126902,0.179879871005128,7.35579075010175,1.89800142096728e-13,4.7110949935003e-11
"LTB",260.577000029665,1.99812017076769,0.271675891129526,7.35479384077938,1.91222013825943e-13,4.7110949935003e-11
"CYTH4",476.708985498077,0.938688492811622,0.127794620763276,7.34528955291809,2.05314135593293e-13,5.000799070803e-11
"STAT1",3418.32100957769,1.26890576438474,0.172812229713309,7.34268498525721,2.09350873502161e-13,5.04182766589361e-11
"GZMA",165.487051653951,1.55478677799503,0.212000954917266,7.33386686207046,2.23605240004517e-13,5.32528301584091e-11
"ISG15",1461.66317711705,1.74116430746186,0.237685538512584,7.32549535137022,2.38017878753418e-13,5.60623649802281e-11
"MIR758",2147.54937633952,2.58840159716355,0.3535428084708,7.32132441997426,2.45535434899187e-13,5.72044186046648e-11
"BISPR",133.840009975071,1.50675850233983,0.205861694043128,7.31927573676802,2.49312848675276e-13,5.74599096613535e-11
"MIR155",14057.7774903398,1.83135171473555,0.250393469685816,7.3138956740104,2.59506651462726e-13,5.91730379516177e-11
"CCL5",2224.82771310549,1.67206670893094,0.229362442260748,7.2900632398659,3.0980956707384e-13,6.98995606385336e-11
"FCMR",295.275381434849,1.67230811741414,0.229818479106461,7.27664774354138,3.42217294734195e-13,7.64071405763827e-11
"MIR4742",423439.310131367,1.4660250572883,0.201673174177489,7.26931116777124,3.6132522192955e-13,7.98416990395667e-11
"PRF1",126.73252490929,1.18052219361058,0.162429948652807,7.26788503845396,3.65159338186057e-13,7.98655638232649e-11
"CD74",58311.4120916008,1.17748722191959,0.162188546086026,7.25998999519388,3.87118955793688e-13,8.38132090755748e-11
"NAPSB",538.707825122632,1.47572750803492,0.203307011434538,7.25861591109012,3.91071192013981e-13,8.38221992962766e-11
"PVRIG",79.8620895587579,1.71463403523743,0.236497478512851,7.25011550236995,4.1641637094318e-13,8.83709751960013e-11
"TNFSF8",107.66542571882,1.27393198390719,0.176326514914413,7.22484638527304,5.01668589019391e-13,1.05419260167075e-10
"HLA-DMB",1210.5921990606,1.21724596283726,0.168589157425327,7.22019127105733,5.19145022156919e-13,1.08032567037975e-10
"PNOC",142.6609932774,1.65640424042499,0.229488457528016,7.21781068323568,5.28311945530607e-13,1.08883060004837e-10
"VPREB3",31.146539329112,1.936442993608,0.26869403053334,7.20687017037292,5.72525422383022e-13,1.16871522889121e-10
"CD48",503.559978723376,1.34547828167835,0.186862926622084,7.20034897237526,6.00586475658529e-13,1.21443118106273e-10
"OAS2",1092.12871640941,0.91644064987423,0.127472948157262,7.18929516514851,6.51266448237105e-13,1.304602341263e-10
"TIGIT",111.832451191818,1.80389066069043,0.250989065094079,7.18712849109292,6.61681357162206e-13,1.31319242679766e-10
"TNFSF13B",267.990886159037,1.1627520037002,0.161825960781954,7.18520068153285,6.71085415082321e-13,1.3196371364105e-10
"CXCR3",140.900747606819,1.90884341563616,0.265763314667121,7.18249400985633,6.84510615710884e-13,1.32732429364825e-10
"USP30-AS1",26.4919304534305,1.87375305553546,0.260898541709375,7.18192230304876,6.87379847881663e-13,1.32732429364825e-10
"PARP14",1436.09789797428,1.01005551270115,0.140815695471359,7.1728901335902,7.34307825890175e-13,1.40528160179732e-10
"OASL",238.615522079893,1.80921353832624,0.253720001933295,7.13074855959484,9.98245307847651e-13,1.89348583437226e-10
"CD4",960.219831742623,1.10194941225702,0.155100416778867,7.10474823435271,1.20542077632442e-12,2.2664025368191e-10
"EVI2B",870.181760524367,1.06931744265952,0.150788791600722,7.0914915578805,1.32674173956938e-12,2.47281586486348e-10
"LILRB1",205.763391321053,1.08457481005136,0.153468888804575,7.06706628619984,1.58243375501698e-12,2.92395561250293e-10
