"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC00582",51.9661191456617,1.84999069512593,0.269659360132395,6.86047276170066,6.86330298693904e-12,1.18740676595809e-09
"MYO1G",174.618551770104,1.32105769659088,0.192866765855929,6.8495870230836,7.40634841027775e-12,1.27110713956551e-09
"IKZF3",437.315670889629,1.38885018202346,0.203318770314538,6.83089996990873,8.43835599742227e-12,1.43673056518016e-09
"TRAT1",99.4693098810626,1.8066744043478,0.264591648400055,6.82816111269001,8.60099630845712e-12,1.45289113232544e-09
"CPNE5",379.824357500612,1.43674895468762,0.210936611074763,6.81128300756853,9.67321208400171e-12,1.62124545967257e-09
"CD86",184.430433140648,1.08667224248495,0.159693771892694,6.80472525387612,1.01242263708504e-11,1.67583805366144e-09
"MIR25",18.9701276618334,2.00774752829353,0.295071015375144,6.80428582841639,1.01551739605644e-11,1.67583805366144e-09
"GPSM3",542.652754461743,1.17504296738008,0.172901710752827,6.79601701026466,1.07551085172672e-11,1.76129269481629e-09
"ELFN1-AS1",13.7066086818759,2.56137457424414,0.377242335419675,6.78973257705727,1.12341588755658e-11,1.82580613907207e-09
"MFNG",436.669222242739,0.807931191609191,0.119277202266901,6.77355920707566,1.25652118589812e-11,2.02677812038139e-09
"CCR6",130.950535627867,1.65991769890006,0.245152203739763,6.77096788679949,1.27923669594094e-11,2.04801976403142e-09
"THEMIS2",398.960550719951,0.950523747232844,0.140455573917695,6.7674334362112,1.31086925909377e-11,2.0831169048399e-09
"HLA-A",21528.2004815513,0.955670380001042,0.141793530396609,6.73987294997131,1.58525186610724e-11,2.50061825614696e-09
"JAML",298.951346538453,0.987342577092506,0.146541115878529,6.73764882417665,1.60970035999965e-11,2.52064976810748e-09
"ZBP1",226.064103841332,1.63332238373641,0.242680279336499,6.73034656215989,1.69259454351275e-11,2.63124860449123e-09
"ADA",206.58930849666,0.816008961812377,0.121566274171271,6.71246171995635,1.91368017828857e-11,2.953538191714e-09
"EBI3",76.8664874902919,1.30760174112343,0.19497680907957,6.70644753751099,1.9941949542844e-11,3.03414640810378e-09
"NCF1",216.222224715771,1.16538362469733,0.173758002664672,6.70693497177423,1.98754778248521e-11,3.03414640810378e-09
"P2RY10",155.301732009994,1.55194177604284,0.231460416532648,6.70499863126243,2.01408255453157e-11,3.04282486213843e-09
"TNF",40.1345123549463,1.71968589876648,0.258073206072357,6.66355847218144,2.67275636679396e-11,4.00969526830984e-09
"FCMR",256.588304413486,1.54006293824296,0.231343242405054,6.65704743407413,2.79383043021319e-11,4.16222529301136e-09
"HLA-DMB",1289.71808791872,1.06260760984865,0.159668601374675,6.65508184264204,2.83142451015218e-11,4.18914138043412e-09
"CXCL10",1688.06975455023,2.02660128117518,0.30616520615712,6.6193063105125,3.60888357157038e-11,5.30283419595201e-09
"MIR758",2447.12864874837,2.39552950469681,0.36252978524923,6.60781431531188,3.9003545839293e-11,5.69212972034254e-09
"IL10",27.7758520993468,1.62306614584295,0.245875485013616,6.60117109988849,4.07922420627846e-11,5.9129457363035e-09
"FAM78A",182.7398964724,1.11997192874367,0.169690258357005,6.60009560706425,4.1089271271271e-11,5.91602776229917e-09
"NCR3",35.3276799606945,2.30890205800332,0.349930937985692,6.59816497304885,4.16277912158028e-11,5.95360669968411e-09
"TNFSF13B",286.579122241539,1.06529871607912,0.16160628841338,6.59193851017817,4.34120405836952e-11,6.16767222941731e-09
"ADAM19",947.673665708616,1.16897657946651,0.177495420097024,6.58595347884196,4.5197533825775e-11,6.32842578809305e-09
"LCK",314.912844608263,1.38756662231646,0.210709988420032,6.58519623450632,4.54284981758416e-11,6.32842578809305e-09
"PTGDS",1855.35829626668,1.6355990321608,0.248349571738361,6.58587418014123,4.52216664772118e-11,6.32842578809305e-09
"B2M",204634.634877715,0.976386518368471,0.14861216316578,6.5700309959104,5.03047892147068e-11,6.96250737434261e-09
"LILRB1",214.280049686775,1.04825169296123,0.159573837793925,6.56906988923176,5.06305179742034e-11,6.96266988526017e-09
"SASH3",360.51202651112,1.21489664713252,0.185222505946791,6.55912002120046,5.41262265144454e-11,7.39598686251208e-09
"IRF9",3038.41048160359,0.75400702034125,0.115107251257889,6.55047368520647,5.73548631513068e-11,7.78755619737333e-09
"UBE2L6",4099.92130876131,0.84407984645305,0.129016650036935,6.54241019443156,6.0535188178699e-11,8.16768171067692e-09
"FOLR2",1130.11320767379,0.939667395059326,0.143674376491677,6.54025733749234,6.14130681554534e-11,8.23434094461839e-09
"MIR99A",10360.8080885748,1.62801893508521,0.249030980894445,6.53741526149819,6.2591085997186e-11,8.34016501799771e-09
"IL17REL",15.2299500821626,2.21610511349385,0.339335793451803,6.5307142843704,6.54567629847697e-11,8.60706132854271e-09
"SLA",334.312591731878,1.12298809470157,0.171975353987527,6.52993623018222,6.57976999897918e-11,8.60706132854271e-09
"SLAMF7",1780.86304270598,1.27903331880415,0.195837467476802,6.53109609352799,6.5290089896259e-11,8.60706132854271e-09
"GPR18",31.5577324109347,1.54386995173423,0.236490886856614,6.52824289449381,6.65457200859075e-11,8.65215353335136e-09
"HLA-DMA",3855.88502546487,1.04897909083738,0.160741753668265,6.52586566277133,6.76098975548230e-11,8.68524031283604e-09
"IGHV1-2",2672.99098437879,1.77677782946627,0.27225259265605,6.52621086959108,6.74543376838394e-11,8.68524031283604e-09
